rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
Base,,,,,1.8970302709825073,6.666068600805319
8,16,2949120,4.479111584027608,13.988141568,1.435827374458313,4.203121125629023
16,32,5898240,4.770488246281942,10.32371968,1.398202896118164,4.0479188956228835
64,128,23592960,4.787951842943827,15.032395264,1.3274585008621216,3.7714460700120718
